name,kind,dropped,n,S_max,eps_inf,lam,R2,d_aicc,identified
timm | RTX 5090 | PyTorch 2.9.1 compile | amp-fp16,primary cell,36,6,0.7605,0.0,0.19,0.8649,-10.0,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,0,34,2.3072,0.09944,0.3438,0.9789,50.08,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,1,33,2.2443,0.1059,0.3567,0.9793,47.65,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,2,32,2.2281,0.10762,0.3601,0.9788,43.43,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,3,31,2.1774,0.111661,0.3681,0.9783,39.76,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,4,30,2.1697,0.112086,0.3689,0.9775,35.1,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,5,29,2.0735,0.113306,0.371,0.9768,32.17,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,6,28,2.064,0.112912,0.3703,0.976,28.35,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,7,27,2.0179,0.112534,0.3697,0.975,24.66,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,8,26,2.0095,0.110807,0.3669,0.9741,20.46,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,9,25,2.001,0.109923,0.3655,0.973,17.29,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,10,24,1.9798,0.109089,0.3642,0.9717,14.25,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,11,23,1.923,0.107511,0.3619,0.9702,11.07,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,12,22,1.902,0.103463,0.3563,0.9687,7.72,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,13,21,1.8666,0.095676,0.346,0.9673,4.03,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,14,20,1.813,0.080648,0.3279,0.9663,0.5,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,15,19,1.789,0.044864,0.2923,0.9666,-2.28,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,16,18,1.6867,0.005877,0.2623,0.9653,-2.91,True
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,17,17,1.6015,0.0,0.2609,0.9641,-2.99,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,18,16,1.5356,0.0,0.2627,0.9619,-3.08,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,19,15,1.4843,0.0,0.2648,0.9596,-3.18,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,20,14,1.4486,0.0,0.2664,0.9567,-3.31,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,21,13,1.448,0.0,0.2646,0.9533,-3.47,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,22,12,1.3927,0.0,0.2621,0.9486,-3.67,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,23,11,1.3594,0.0,0.257,0.9453,-3.93,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,24,10,1.323,0.0,0.2522,0.939,-4.29,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,25,9,1.3002,0.0,0.2462,0.9294,-4.8,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,26,8,1.1491,0.0,0.2308,0.9292,-5.6,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,27,7,1.057,0.0,0.2264,0.909,-7.0,False
timm | RTX 5090 | PyTorch 2.9.1 eager | amp-fp16,primary cell,28,6,1.0015,0.0,0.2315,0.8788,-10.0,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,0,36,2.3072,0.093468,0.2689,0.9693,29.05,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,1,35,2.2443,0.093729,0.2693,0.9684,25.61,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,2,34,2.2281,0.093009,0.2683,0.9676,21.59,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,3,33,2.1774,0.092418,0.2676,0.9666,18.15,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,4,32,2.1697,0.091094,0.266,0.9656,14.78,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,5,31,2.0744,0.090902,0.2658,0.9645,12.61,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,6,30,2.0203,0.089195,0.2639,0.9635,10.33,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,7,29,2.0095,0.087227,0.2619,0.9625,8.46,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,8,28,2.001,0.08533,0.2601,0.9614,6.83,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,9,27,1.9798,0.08309,0.258,0.9601,5.25,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,10,26,1.9459,0.079637,0.2548,0.9589,3.6,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,11,25,1.923,0.072717,0.2486,0.958,1.67,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,12,24,1.902,0.063191,0.2408,0.9572,-0.03,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,13,23,1.8666,0.054754,0.2345,0.9558,-1.08,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,14,22,1.8437,0.040019,0.2243,0.955,-2.05,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,15,21,1.813,0.008842,0.2054,0.9555,-2.72,True
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,16,20,1.789,0.0,0.2022,0.9546,-2.79,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,17,19,1.7659,0.0,0.2041,0.953,-2.85,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,18,18,1.6899,0.0,0.2059,0.9505,-2.91,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,19,17,1.6867,0.0,0.2078,0.9479,-2.99,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,20,16,1.6015,0.0,0.2078,0.943,-3.08,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,21,15,1.5356,0.0,0.2072,0.9378,-3.18,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,22,14,1.4843,0.0,0.2059,0.9324,-3.31,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,23,13,1.4486,0.0,0.204,0.9264,-3.47,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,24,12,1.3927,0.0,0.1999,0.9224,-3.67,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,25,11,1.3594,0.0,0.1948,0.9191,-3.93,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,26,10,1.323,0.0,0.1886,0.9154,-4.29,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,27,9,1.3002,0.0,0.1811,0.9093,-4.8,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,28,8,1.1491,0.0,0.1679,0.9179,-5.6,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,29,7,1.0425,0.0,0.1605,0.9021,-7.0,False
timm | RTX Pro 6000 | PyTorch 2.9.1 compile | bf16,primary cell,30,6,1.0015,0.0,0.1545,0.8768,-10.0,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,0,36,2.3072,0.098064,0.3239,0.9727,38.83,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,1,35,2.2591,0.098471,0.3245,0.9718,34.44,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,2,34,2.2443,0.09814,0.324,0.9708,29.34,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,3,33,2.2281,0.097589,0.3232,0.9697,24.17,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,4,32,2.1697,0.097238,0.3227,0.9685,19.73,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,5,31,2.064,0.097486,0.323,0.9672,16.95,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,6,30,2.0179,0.095181,0.3199,0.9661,13.5,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,7,29,2.0095,0.090558,0.314,0.9654,9.67,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,8,28,2.001,0.087067,0.3099,0.9641,7.0,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,9,27,1.9798,0.083081,0.3053,0.9627,4.6,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,10,26,1.923,0.07909,0.3011,0.961,2.68,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,11,25,1.8666,0.072206,0.2941,0.9594,0.87,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,12,24,1.8192,0.059728,0.2825,0.9583,-0.82,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,13,23,1.813,0.023523,0.2533,0.9596,-2.49,True
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,14,22,1.789,0.0,0.24,0.9625,-2.7,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,15,21,1.6867,0.0,0.24,0.9599,-2.75,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,16,20,1.6015,0.0,0.2409,0.9576,-2.79,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,17,19,1.6014,0.0,0.2413,0.9553,-2.85,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,18,18,1.5356,0.0,0.2411,0.9523,-2.91,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,19,17,1.5355,0.0,0.2415,0.9492,-2.99,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,20,16,1.4843,0.0,0.2416,0.9452,-3.08,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,21,15,1.4486,0.0,0.2417,0.9408,-3.18,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,22,14,1.448,0.0,0.2389,0.9373,-3.31,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,23,13,1.3927,0.0,0.2344,0.9347,-3.47,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,24,12,1.3594,0.0,0.2292,0.932,-3.67,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,25,11,1.323,0.0,0.2237,0.9272,-3.93,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,26,10,1.3002,0.0,0.217,0.9206,-4.29,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,27,9,1.1491,0.0,0.2047,0.9242,-4.8,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,28,8,1.057,0.0,0.199,0.9122,-5.6,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,29,7,1.0425,0.0,0.2011,0.8952,-7.0,False
timm | RTX Pro 6000 | PyTorch 2.9.1 eager | amp-fp16,primary cell,30,6,1.0015,0.0,0.2044,0.8622,-10.0,False
ultralytics | CPU ONNX | ONNX Runtime,primary cell,0,10,1.6799,0.186214,0.4107,0.9611,13.9,True
ultralytics | CPU ONNX | ONNX Runtime,primary cell,1,9,1.6766,0.186813,0.4185,0.9594,11.52,True
ultralytics | CPU ONNX | ONNX Runtime,primary cell,2,8,1.6607,0.18981,0.4593,0.9628,9.98,True
ultralytics | CPU ONNX | ONNX Runtime,primary cell,3,7,1.6555,0.190809,0.4725,0.9599,6.67,True
ultralytics | CPU ONNX | ONNX Runtime,primary cell,4,6,1.5847,0.204795,0.7329,0.9822,6.92,True
ultralytics | NVIDIA T4 | TensorRT10,primary cell,0,9,1.6766,0.186813,0.7322,0.94,8.15,True
ultralytics | NVIDIA T4 | TensorRT10,primary cell,1,8,1.6607,0.18981,0.8139,0.9373,4.3,True
ultralytics | NVIDIA T4 | TensorRT10,primary cell,2,7,1.6555,0.190809,0.8401,0.9297,0.62,True
ultralytics | NVIDIA T4 | TensorRT10,primary cell,3,6,1.5847,0.204795,1.5969,0.9534,-1.34,True
