label,family,device,precision,task,benchmark_class,n_sizes,n_front,eps_min,eps_inf,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,S_range,x_range,d_aicc,status
qwen1.5 | 1xA10 | float16 | ARC-Challenge,qwen/qwen1.5,1xA10,float16,ARC-Challenge,retired,6,6,0.48687,0.342261,0.3933,0.1966,0.1083,0.3478,0.0606,0.9953,0.629,3.347,-3.91,identified
phi-1_5 | 1xA10 | bfloat16 | GSM8K,microsoft/phi-1_5,1xA10,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | bfloat16 | HellaSwag,microsoft/phi-1_5,1xA10,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | bfloat16 | IFEval,microsoft/phi-1_5,1xA10,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | bfloat16 | MATH Lvl 5,microsoft/phi-1_5,1xA10,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | bfloat16 | MMLU,microsoft/phi-1_5,1xA10,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | bfloat16 | MMLU-PRO,microsoft/phi-1_5,1xA10,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | bfloat16 | MuSR,microsoft/phi-1_5,1xA10,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | bfloat16 | Winogrande,microsoft/phi-1_5,1xA10,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float16 | ARC-Challenge,microsoft/phi-1_5,1xA10,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float16 | BBH,microsoft/phi-1_5,1xA10,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float16 | GPQA,microsoft/phi-1_5,1xA10,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float16 | GSM8K,microsoft/phi-1_5,1xA10,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float16 | HellaSwag,microsoft/phi-1_5,1xA10,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float16 | IFEval,microsoft/phi-1_5,1xA10,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float16 | MATH Lvl 5,microsoft/phi-1_5,1xA10,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float16 | MMLU,microsoft/phi-1_5,1xA10,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float16 | MMLU-PRO,microsoft/phi-1_5,1xA10,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float16 | MuSR,microsoft/phi-1_5,1xA10,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float16 | Winogrande,microsoft/phi-1_5,1xA10,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float32 | ARC-Challenge,microsoft/phi-1_5,1xA10,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float32 | BBH,microsoft/phi-1_5,1xA10,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float32 | GPQA,microsoft/phi-1_5,1xA10,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float32 | GSM8K,microsoft/phi-1_5,1xA10,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float32 | HellaSwag,microsoft/phi-1_5,1xA10,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float32 | IFEval,microsoft/phi-1_5,1xA10,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float32 | MATH Lvl 5,microsoft/phi-1_5,1xA10,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float32 | MMLU,microsoft/phi-1_5,1xA10,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float32 | MMLU-PRO,microsoft/phi-1_5,1xA10,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float32 | MuSR,microsoft/phi-1_5,1xA10,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA10 | float32 | Winogrande,microsoft/phi-1_5,1xA10,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | bfloat16 | ARC-Challenge,microsoft/phi-1_5,1xA100,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | bfloat16 | BBH,microsoft/phi-1_5,1xA100,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | bfloat16 | GPQA,microsoft/phi-1_5,1xA100,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | bfloat16 | GSM8K,microsoft/phi-1_5,1xA100,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | bfloat16 | HellaSwag,microsoft/phi-1_5,1xA100,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | bfloat16 | IFEval,microsoft/phi-1_5,1xA100,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | bfloat16 | MATH Lvl 5,microsoft/phi-1_5,1xA100,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | bfloat16 | MMLU,microsoft/phi-1_5,1xA100,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | bfloat16 | MMLU-PRO,microsoft/phi-1_5,1xA100,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | bfloat16 | MuSR,microsoft/phi-1_5,1xA100,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | bfloat16 | Winogrande,microsoft/phi-1_5,1xA100,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float16 | ARC-Challenge,microsoft/phi-1_5,1xA100,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float16 | BBH,microsoft/phi-1_5,1xA100,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float16 | GPQA,microsoft/phi-1_5,1xA100,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float16 | GSM8K,microsoft/phi-1_5,1xA100,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float16 | HellaSwag,microsoft/phi-1_5,1xA100,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float16 | IFEval,microsoft/phi-1_5,1xA100,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float16 | MATH Lvl 5,microsoft/phi-1_5,1xA100,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float16 | MMLU,microsoft/phi-1_5,1xA100,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float16 | MMLU-PRO,microsoft/phi-1_5,1xA100,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float16 | MuSR,microsoft/phi-1_5,1xA100,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float16 | Winogrande,microsoft/phi-1_5,1xA100,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float32 | ARC-Challenge,microsoft/phi-1_5,1xA100,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float32 | BBH,microsoft/phi-1_5,1xA100,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float32 | GPQA,microsoft/phi-1_5,1xA100,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float32 | GSM8K,microsoft/phi-1_5,1xA100,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float32 | HellaSwag,microsoft/phi-1_5,1xA100,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float32 | IFEval,microsoft/phi-1_5,1xA100,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float32 | MATH Lvl 5,microsoft/phi-1_5,1xA100,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float32 | MMLU,microsoft/phi-1_5,1xA100,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float32 | MMLU-PRO,microsoft/phi-1_5,1xA100,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float32 | MuSR,microsoft/phi-1_5,1xA100,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xA100 | float32 | Winogrande,microsoft/phi-1_5,1xA100,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | bfloat16 | ARC-Challenge,microsoft/phi-1_5,1xT4,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | bfloat16 | BBH,microsoft/phi-1_5,1xT4,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | bfloat16 | GPQA,microsoft/phi-1_5,1xT4,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | bfloat16 | GSM8K,microsoft/phi-1_5,1xT4,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | bfloat16 | HellaSwag,microsoft/phi-1_5,1xT4,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | bfloat16 | IFEval,microsoft/phi-1_5,1xT4,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | bfloat16 | MATH Lvl 5,microsoft/phi-1_5,1xT4,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | bfloat16 | MMLU,microsoft/phi-1_5,1xT4,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | bfloat16 | MMLU-PRO,microsoft/phi-1_5,1xT4,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | bfloat16 | MuSR,microsoft/phi-1_5,1xT4,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | bfloat16 | Winogrande,microsoft/phi-1_5,1xT4,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float16 | ARC-Challenge,microsoft/phi-1_5,1xT4,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float16 | BBH,microsoft/phi-1_5,1xT4,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float16 | GPQA,microsoft/phi-1_5,1xT4,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float16 | GSM8K,microsoft/phi-1_5,1xT4,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float16 | HellaSwag,microsoft/phi-1_5,1xT4,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float16 | IFEval,microsoft/phi-1_5,1xT4,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float16 | MATH Lvl 5,microsoft/phi-1_5,1xT4,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float16 | MMLU,microsoft/phi-1_5,1xT4,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float16 | MMLU-PRO,microsoft/phi-1_5,1xT4,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float16 | MuSR,microsoft/phi-1_5,1xT4,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float16 | Winogrande,microsoft/phi-1_5,1xT4,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float32 | ARC-Challenge,microsoft/phi-1_5,1xT4,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float32 | BBH,microsoft/phi-1_5,1xT4,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float32 | GPQA,microsoft/phi-1_5,1xT4,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float32 | GSM8K,microsoft/phi-1_5,1xT4,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float32 | HellaSwag,microsoft/phi-1_5,1xT4,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float32 | IFEval,microsoft/phi-1_5,1xT4,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float32 | MATH Lvl 5,microsoft/phi-1_5,1xT4,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float32 | MMLU,microsoft/phi-1_5,1xT4,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float32 | MMLU-PRO,microsoft/phi-1_5,1xT4,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float32 | MuSR,microsoft/phi-1_5,1xT4,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 1xT4 | float32 | Winogrande,microsoft/phi-1_5,1xT4,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | bfloat16 | ARC-Challenge,microsoft/phi-1_5,32vCPU-C7i,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | bfloat16 | BBH,microsoft/phi-1_5,32vCPU-C7i,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | bfloat16 | GPQA,microsoft/phi-1_5,32vCPU-C7i,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | bfloat16 | GSM8K,microsoft/phi-1_5,32vCPU-C7i,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | bfloat16 | HellaSwag,microsoft/phi-1_5,32vCPU-C7i,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | bfloat16 | IFEval,microsoft/phi-1_5,32vCPU-C7i,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | bfloat16 | MATH Lvl 5,microsoft/phi-1_5,32vCPU-C7i,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | bfloat16 | MMLU,microsoft/phi-1_5,32vCPU-C7i,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | bfloat16 | MMLU-PRO,microsoft/phi-1_5,32vCPU-C7i,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | bfloat16 | MuSR,microsoft/phi-1_5,32vCPU-C7i,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | bfloat16 | Winogrande,microsoft/phi-1_5,32vCPU-C7i,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float16 | ARC-Challenge,microsoft/phi-1_5,32vCPU-C7i,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float16 | BBH,microsoft/phi-1_5,32vCPU-C7i,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float16 | GPQA,microsoft/phi-1_5,32vCPU-C7i,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float16 | GSM8K,microsoft/phi-1_5,32vCPU-C7i,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float16 | HellaSwag,microsoft/phi-1_5,32vCPU-C7i,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float16 | IFEval,microsoft/phi-1_5,32vCPU-C7i,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float16 | MATH Lvl 5,microsoft/phi-1_5,32vCPU-C7i,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float16 | MMLU,microsoft/phi-1_5,32vCPU-C7i,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float16 | MMLU-PRO,microsoft/phi-1_5,32vCPU-C7i,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float16 | MuSR,microsoft/phi-1_5,32vCPU-C7i,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float16 | Winogrande,microsoft/phi-1_5,32vCPU-C7i,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float32 | ARC-Challenge,microsoft/phi-1_5,32vCPU-C7i,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float32 | BBH,microsoft/phi-1_5,32vCPU-C7i,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float32 | GPQA,microsoft/phi-1_5,32vCPU-C7i,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float32 | GSM8K,microsoft/phi-1_5,32vCPU-C7i,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float32 | HellaSwag,microsoft/phi-1_5,32vCPU-C7i,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float32 | IFEval,microsoft/phi-1_5,32vCPU-C7i,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float32 | MATH Lvl 5,microsoft/phi-1_5,32vCPU-C7i,float32,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float32 | MMLU,microsoft/phi-1_5,32vCPU-C7i,float32,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float32 | MMLU-PRO,microsoft/phi-1_5,32vCPU-C7i,float32,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float32 | MuSR,microsoft/phi-1_5,32vCPU-C7i,float32,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-1_5 | 32vCPU-C7i | float32 | Winogrande,microsoft/phi-1_5,32vCPU-C7i,float32,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | bfloat16 | ARC-Challenge,microsoft/phi-3-mini-4k,1xA10,bfloat16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | bfloat16 | BBH,microsoft/phi-3-mini-4k,1xA10,bfloat16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | bfloat16 | GPQA,microsoft/phi-3-mini-4k,1xA10,bfloat16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | bfloat16 | GSM8K,microsoft/phi-3-mini-4k,1xA10,bfloat16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | bfloat16 | HellaSwag,microsoft/phi-3-mini-4k,1xA10,bfloat16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | bfloat16 | IFEval,microsoft/phi-3-mini-4k,1xA10,bfloat16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | bfloat16 | MATH Lvl 5,microsoft/phi-3-mini-4k,1xA10,bfloat16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | bfloat16 | MMLU,microsoft/phi-3-mini-4k,1xA10,bfloat16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | bfloat16 | MMLU-PRO,microsoft/phi-3-mini-4k,1xA10,bfloat16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | bfloat16 | MuSR,microsoft/phi-3-mini-4k,1xA10,bfloat16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | bfloat16 | Winogrande,microsoft/phi-3-mini-4k,1xA10,bfloat16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float16 | ARC-Challenge,microsoft/phi-3-mini-4k,1xA10,float16,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float16 | BBH,microsoft/phi-3-mini-4k,1xA10,float16,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float16 | GPQA,microsoft/phi-3-mini-4k,1xA10,float16,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float16 | GSM8K,microsoft/phi-3-mini-4k,1xA10,float16,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float16 | HellaSwag,microsoft/phi-3-mini-4k,1xA10,float16,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float16 | IFEval,microsoft/phi-3-mini-4k,1xA10,float16,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float16 | MATH Lvl 5,microsoft/phi-3-mini-4k,1xA10,float16,MATH Lvl 5,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float16 | MMLU,microsoft/phi-3-mini-4k,1xA10,float16,MMLU,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float16 | MMLU-PRO,microsoft/phi-3-mini-4k,1xA10,float16,MMLU-PRO,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float16 | MuSR,microsoft/phi-3-mini-4k,1xA10,float16,MuSR,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float16 | Winogrande,microsoft/phi-3-mini-4k,1xA10,float16,Winogrande,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float32 | ARC-Challenge,microsoft/phi-3-mini-4k,1xA10,float32,ARC-Challenge,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float32 | BBH,microsoft/phi-3-mini-4k,1xA10,float32,BBH,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float32 | GPQA,microsoft/phi-3-mini-4k,1xA10,float32,GPQA,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float32 | GSM8K,microsoft/phi-3-mini-4k,1xA10,float32,GSM8K,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float32 | HellaSwag,microsoft/phi-3-mini-4k,1xA10,float32,HellaSwag,retired,1,1,,,,,,,,,,,,excluded: front shorter than six points
phi-3-mini-4k | 1xA10 | float32 | IFEval,microsoft/phi-3-mini-4k,1xA10,float32,IFEval,headroom,1,1,,,,,,,,,,,,excluded: front shorter than six points
