label,suite,model,task,shots,resource,n_sizes,n_front,eps_min,eps_inf,floor_lo,floor_hi,alpha,lambda_star,boot_lo,boot_hi,boot_se,R2,R2_power,S_range,x_range,d_aicc,status
Pythia v0 deduped pythia-1.4b / ARC-Easy,Pythia v0 deduped,pythia-1.4b,ARC-Easy,0,training tokens,15,13,0.556677,0.422347,1e-05,0.510426,0.2725,0.1362,0.0411,0.2121,0.0578,0.9795,0.9693,0.389,3.864,1.76,identified
Pythia v0 deduped pythia-1.4b / LAMBADA,Pythia v0 deduped,pythia-1.4b,LAMBADA,0,training tokens,15,9,0.404619,0.371721,4.1e-05,0.396883,0.5696,0.2848,0.0541,0.3769,0.0884,0.9922,0.9471,0.635,3.864,12.38,identified
Pythia v0 deduped pythia-1.4b / PIQA,Pythia v0 deduped,pythia-1.4b,PIQA,0,training tokens,15,14,0.547334,0.360208,2e-06,0.446122,0.2226,0.1113,0.0436,0.1507,0.0295,0.9938,0.9888,0.401,3.792,4.97,identified
Pythia v0 deduped pythia-1.4b / SciQ,Pythia v0 deduped,pythia-1.4b,SciQ,0,training tokens,15,7,0.176,0.155551,0.076437,0.192528,0.7278,0.3639,0.1756,0.4902,0.0836,0.996,0.9668,1.091,3.629,7.82,identified
Pythia v0 deduped pythia-12b / ARC-Easy,Pythia v0 deduped,pythia-12b,ARC-Easy,0,training tokens,15,12,0.40404,0.202029,0.038395,0.351185,0.2695,0.1347,0.0908,0.3143,0.0605,0.995,0.9911,0.622,3.864,3.11,identified
Pythia v0 deduped pythia-12b / ARC-Easy / 5-shot,Pythia v0 deduped,pythia-12b,ARC-Easy,5,training tokens,15,12,0.36532,0.189128,0.128861,0.271481,0.3102,0.1551,0.1268,0.2355,0.0378,0.9981,0.9933,0.73,3.864,11.63,identified
Pythia v0 deduped pythia-12b / LAMBADA,Pythia v0 deduped,pythia-12b,LAMBADA,0,training tokens,15,13,0.287017,0.113833,0.072783,0.249115,0.3125,0.1562,0.1354,0.3652,0.066,0.9966,0.9944,0.837,3.714,3.25,identified
Pythia v0 deduped pythia-12b / LAMBADA / 5-shot,Pythia v0 deduped,pythia-12b,LAMBADA,5,training tokens,15,13,0.297691,0.05613,0.008958,0.224233,0.2834,0.1417,0.1272,0.285,0.0544,0.9966,0.9962,0.93,3.714,-2.16,identified
Pythia v0 deduped pythia-12b / PIQA,Pythia v0 deduped,pythia-12b,PIQA,0,training tokens,15,12,0.471164,0.318976,0.128623,0.416713,0.2782,0.1391,0.0735,0.2495,0.0423,0.9898,0.9822,0.472,3.792,3.05,identified
Pythia v0 deduped pythia-12b / PIQA / 5-shot,Pythia v0 deduped,pythia-12b,PIQA,5,training tokens,14,10,0.461372,0.293487,0.031391,0.435971,0.2658,0.1329,0.0642,0.393,0.0682,0.995,0.9889,0.491,3.714,3.6,identified
Pythia v0 deduped pythia-12b / SciQ / 5-shot,Pythia v0 deduped,pythia-12b,SciQ,5,training tokens,15,7,0.065333,0.026321,0.004002,0.05855,0.6339,0.317,0.2491,0.6451,0.1149,0.9985,0.9967,1.593,3.192,-1.63,identified
Pythia v0 deduped pythia-160m / LAMBADA,Pythia v0 deduped,pythia-160m,LAMBADA,0,training tokens,15,6,0.610324,0.408507,0.078067,0.613009,0.2339,0.117,0.0528,0.8885,0.2846,0.9814,0.9773,0.293,3.192,-8.81,identified
Pythia v0 deduped pythia-160m / SciQ,Pythia v0 deduped,pythia-160m,SciQ,0,training tokens,15,9,0.296,0.272653,0.137254,0.283482,0.648,0.324,0.1002,0.4069,0.1078,0.9982,0.9391,0.63,3.864,26.88,identified
Pythia v0 deduped pythia-1b / ARC-Easy / 5-shot,Pythia v0 deduped,pythia-1b,ARC-Easy,5,training tokens,15,11,0.536476,0.392667,3e-06,0.528487,0.2242,0.1121,0.0334,0.2428,0.059,0.9739,0.9687,0.33,3.629,-1.96,identified
Pythia v0 deduped pythia-1b / LAMBADA,Pythia v0 deduped,pythia-1b,LAMBADA,0,training tokens,15,12,0.416068,0.285231,0.108902,0.407051,0.2939,0.147,0.0833,0.488,0.1112,0.9873,0.9775,0.496,3.864,3.19,identified
Pythia v0 deduped pythia-1b / LAMBADA / 5-shot,Pythia v0 deduped,pythia-1b,LAMBADA,5,training tokens,15,11,0.474093,0.372525,1.8e-05,0.452001,0.3506,0.1753,0.0458,0.5701,0.1118,0.9925,0.9766,0.478,3.864,8.52,identified
Pythia v0 deduped pythia-1b / PIQA,Pythia v0 deduped,pythia-1b,PIQA,0,training tokens,15,10,0.57889,0.484228,7e-06,0.55507,0.3041,0.152,0.0327,0.2734,0.0631,0.9859,0.9704,0.33,3.864,3.15,identified
Pythia v0 deduped pythia-1b / PIQA / 5-shot,Pythia v0 deduped,pythia-1b,PIQA,5,training tokens,15,10,0.56148,0.249076,3e-06,0.506224,0.1316,0.0658,0.0357,0.1673,0.0386,0.9869,0.986,0.328,3.792,-3.67,identified
Pythia v0 deduped pythia-1b / SciQ,Pythia v0 deduped,pythia-1b,SciQ,0,training tokens,15,9,0.164,0.119388,0.0117,0.176978,0.4405,0.2202,0.0969,0.7781,0.1902,0.9869,0.9739,0.844,3.629,1.42,identified
Pythia v0 deduped pythia-1b / SciQ / 5-shot,Pythia v0 deduped,pythia-1b,SciQ,5,training tokens,15,12,0.106667,0.098292,0.005067,0.10989,0.7456,0.3728,0.1101,0.4284,0.103,0.9953,0.9552,1.267,3.864,23.47,identified
Pythia v0 deduped pythia-2.8b / ARC-Easy / 5-shot,Pythia v0 deduped,pythia-2.8b,ARC-Easy,5,training tokens,15,14,0.424804,0.275272,5e-06,0.366447,0.2868,0.1434,0.0557,0.2538,0.0434,0.9956,0.9877,0.551,3.864,10.94,identified
Pythia v0 deduped pythia-2.8b / LAMBADA,Pythia v0 deduped,pythia-2.8b,LAMBADA,0,training tokens,15,12,0.328546,0.23281,0.097255,0.295696,0.3846,0.1923,0.0941,0.3361,0.0573,0.9974,0.9832,0.702,3.864,18.78,identified
Pythia v0 deduped pythia-2.8b / LAMBADA / 5-shot,Pythia v0 deduped,pythia-2.8b,LAMBADA,5,training tokens,15,11,0.35979,0.226368,0.023361,0.275672,0.3492,0.1746,0.0874,0.2079,0.0318,0.9971,0.9898,0.719,3.714,9.95,identified
Pythia v0 deduped pythia-2.8b / PIQA,Pythia v0 deduped,pythia-2.8b,PIQA,0,training tokens,15,12,0.504896,0.184167,0.037735,0.473319,0.1474,0.0737,0.0545,0.3761,0.0873,0.9942,0.9934,0.384,3.864,-2.1,identified
Pythia v0 deduped pythia-2.8b / PIQA / 5-shot,Pythia v0 deduped,pythia-2.8b,PIQA,5,training tokens,15,11,0.487486,0.325169,8.3e-05,0.472768,0.2425,0.1212,0.0511,0.404,0.0803,0.9867,0.9809,0.445,3.864,0.09,identified
Pythia v0 deduped pythia-2.8b / SciQ / 5-shot,Pythia v0 deduped,pythia-2.8b,SciQ,5,training tokens,15,8,0.068,0.053704,0.016039,0.068994,0.6917,0.3458,0.1762,1.0989,0.2096,0.9938,0.9743,1.396,3.792,5.72,identified
Pythia v0 deduped pythia-410m / ARC-Easy,Pythia v0 deduped,pythia-410m,ARC-Easy,0,training tokens,15,10,0.650953,0.599228,0.384378,0.645702,0.4313,0.2156,0.0658,0.5107,0.1163,0.9947,0.9571,0.263,3.629,16.56,identified
Pythia v0 deduped pythia-410m / PIQA,Pythia v0 deduped,pythia-410m,PIQA,0,training tokens,15,11,0.639826,0.545615,4e-06,0.616075,0.2629,0.1314,0.025,0.2142,0.0499,0.9844,0.972,0.246,3.714,2.53,identified
Pythia v0 deduped pythia-410m / SciQ,Pythia v0 deduped,pythia-410m,SciQ,0,training tokens,15,9,0.253333,0.25308,3e-06,0.267715,0.9876,0.4938,0.0533,0.6534,0.1599,0.9936,0.9068,0.84,3.714,19.36,identified
Pythia v0 deduped pythia-6.9b / ARC-Easy,Pythia v0 deduped,pythia-6.9b,ARC-Easy,0,training tokens,15,13,0.439393,0.216759,0.042562,0.328265,0.2256,0.1128,0.0706,0.1866,0.031,0.9975,0.995,0.525,3.792,5.7,identified
Pythia v0 deduped pythia-6.9b / ARC-Easy / 5-shot,Pythia v0 deduped,pythia-6.9b,ARC-Easy,5,training tokens,15,13,0.392256,0.186489,0.069524,0.304048,0.2629,0.1314,0.0913,0.2316,0.0561,0.9961,0.9927,0.644,3.864,4.52,identified
Pythia v0 deduped pythia-6.9b / LAMBADA,Pythia v0 deduped,pythia-6.9b,LAMBADA,0,training tokens,15,15,0.307588,0.204941,0.055295,0.222916,0.4254,0.2127,0.1104,0.2435,0.051,0.9982,0.9852,0.866,3.864,28.46,identified
Pythia v0 deduped pythia-6.9b / LAMBADA / 5-shot,Pythia v0 deduped,pythia-6.9b,LAMBADA,5,training tokens,15,14,0.328352,0.144675,0.013432,0.174568,0.3287,0.1643,0.1096,0.1799,0.0184,0.9981,0.995,0.876,3.864,10.53,identified
Pythia v0 deduped pythia-6.9b / PIQA,Pythia v0 deduped,pythia-6.9b,PIQA,0,training tokens,15,10,0.489662,0.287687,0.099195,0.473768,0.2335,0.1167,0.0736,0.4322,0.1212,0.9901,0.9856,0.439,3.792,-0.57,identified
Pythia v0 deduped pythia-6.9b / PIQA / 5-shot,Pythia v0 deduped,pythia-6.9b,PIQA,5,training tokens,14,11,0.4679,0.15349,0.015501,0.44907,0.1656,0.0828,0.0631,0.4057,0.1137,0.9869,0.9862,0.458,3.864,-3.32,identified
Pythia v0 deduped pythia-6.9b / SciQ,Pythia v0 deduped,pythia-6.9b,SciQ,0,training tokens,15,6,0.129333,0.047043,0.015805,0.127062,0.4088,0.2044,0.1699,1.2372,0.2668,0.9871,0.9849,1.081,3.714,-9.07,identified
Pythia v0 deduped pythia-6.9b / SciQ / 5-shot,Pythia v0 deduped,pythia-6.9b,SciQ,5,training tokens,15,10,0.069333,0.037946,0.027575,0.052707,0.6249,0.3124,0.2674,0.4096,0.0482,0.9997,0.9947,1.538,3.536,25.68,identified
Pythia v0 deduped pythia-70m / ARC-Easy,Pythia v0 deduped,pythia-70m,ARC-Easy,0,training tokens,15,6,0.775533,0.774441,0.002797,0.777658,0.9769,0.4884,0.0055,1.2838,0.2704,0.9972,0.8745,0.096,3.629,12.91,identified
Pythia v0 deduped pythia-70m / ARC-Easy / 5-shot,Pythia v0 deduped,pythia-70m,ARC-Easy,5,training tokens,15,7,0.787317,0.741532,3e-06,0.798119,0.2835,0.1417,0.01,0.37,0.1057,0.9606,0.9492,0.108,3.32,-5.22,identified
Pythia v0 pythia-1.4b / ARC-Challenge,Pythia v0,pythia-1.4b,ARC-Challenge,0,training tokens,9,6,0.982935,0.003614,8e-06,0.268258,0.0246,0.0123,0.0117,0.1091,0.0616,0.9921,0.9921,0.014,0.584,-10.0,identified
Pythia v0 pythia-1.4b / ARC-Easy,Pythia v0,pythia-1.4b,ARC-Easy,0,training tokens,15,12,0.566779,0.472252,0.010102,0.50728,0.3491,0.1745,0.0417,0.2182,0.0871,0.9946,0.9735,0.372,3.792,15.44,identified
Pythia v0 pythia-1.4b / LAMBADA,Pythia v0,pythia-1.4b,LAMBADA,0,training tokens,15,10,0.396468,0.323538,0.057573,0.384395,0.4896,0.2448,0.0852,0.7267,0.1204,0.9955,0.9687,0.694,3.864,15.13,identified
Pythia v0 pythia-1.4b / PIQA,Pythia v0,pythia-1.4b,PIQA,0,training tokens,15,9,0.575626,0.474805,0.37231,0.564768,0.3147,0.1573,0.099,0.4862,0.1369,0.993,0.9767,0.352,3.792,6.06,identified
Pythia v0 pythia-1.4b / SciQ,Pythia v0,pythia-1.4b,SciQ,0,training tokens,15,8,0.188,0.185554,7.6e-05,0.19717,0.824,0.412,0.0642,0.5091,0.128,0.9873,0.9393,0.859,3.714,6.9,identified
Pythia v0 pythia-12b / ARC-Easy / 5-shot,Pythia v0,pythia-12b,ARC-Easy,5,training tokens,15,14,0.361392,0.133976,0.009152,0.172938,0.2643,0.1322,0.0947,0.1549,0.027,0.9969,0.9952,0.743,3.864,2.98,identified
Pythia v0 pythia-12b / LAMBADA,Pythia v0,pythia-12b,LAMBADA,0,training tokens,15,14,0.295362,0.14162,0.017277,0.17441,0.3128,0.1564,0.1004,0.1771,0.0402,0.9979,0.9941,0.798,3.864,11.28,identified
Pythia v0 pythia-12b / LAMBADA / 5-shot,Pythia v0,pythia-12b,LAMBADA,5,training tokens,15,13,0.323113,0.118464,0.034126,0.221382,0.3013,0.1506,0.119,0.2414,0.0554,0.9967,0.9947,0.851,3.864,2.7,identified
Pythia v0 pythia-12b / PIQA / 5-shot,Pythia v0,pythia-12b,PIQA,5,training tokens,15,13,0.474428,0.195239,0.029212,0.398342,0.1866,0.0933,0.0656,0.2323,0.043,0.9943,0.993,0.473,3.792,-0.69,identified
Pythia v0 pythia-12b / SciQ,Pythia v0,pythia-12b,SciQ,0,training tokens,15,9,0.1,0.012567,5.2e-05,0.062853,0.3244,0.1622,0.1506,0.223,0.0618,0.9939,0.9937,1.184,3.629,-4.61,identified
Pythia v0 pythia-12b / SciQ / 5-shot,Pythia v0,pythia-12b,SciQ,5,training tokens,15,10,0.062667,0.042365,0.017969,0.062604,0.6552,0.3276,0.2132,0.8583,0.1469,0.9959,0.9836,1.539,3.864,9.45,identified
Pythia v0 pythia-160m / ARC-Easy,Pythia v0,pythia-160m,ARC-Easy,0,training tokens,15,7,0.725589,0.701739,0.543241,0.724864,0.4364,0.2182,0.0546,1.0271,0.2243,0.9883,0.9334,0.129,3.792,5.19,identified
Pythia v0 pythia-160m / LAMBADA,Pythia v0,pythia-160m,LAMBADA,0,training tokens,15,7,0.608966,0.598062,0.002293,0.626313,0.6768,0.3384,0.0164,0.9219,0.1903,0.9906,0.9001,0.322,3.714,9.56,identified
Pythia v0 pythia-160m / PIQA,Pythia v0,pythia-160m,PIQA,0,training tokens,15,7,0.727966,0.649361,2e-06,0.740896,0.2473,0.1236,0.0158,0.3728,0.1044,0.9679,0.9598,0.152,3.192,-5.44,identified
Pythia v0 pythia-1b / ARC-Easy / 5-shot,Pythia v0,pythia-1b,ARC-Easy,5,training tokens,15,10,0.534792,0.183475,0.000154,0.466903,0.1371,0.0685,0.0497,0.2362,0.0619,0.9932,0.9926,0.347,3.714,-3.53,identified
Pythia v0 pythia-1b / LAMBADA,Pythia v0,pythia-1b,LAMBADA,0,training tokens,15,12,0.430429,0.330998,4e-06,0.380147,0.3041,0.152,0.0453,0.2041,0.0404,0.9907,0.9787,0.453,3.792,6.25,identified
Pythia v0 pythia-1b / LAMBADA / 5-shot,Pythia v0,pythia-1b,LAMBADA,5,training tokens,15,7,0.483214,0.362904,0.190813,0.47507,0.3292,0.1646,0.0921,0.7266,0.138,0.9958,0.9807,0.459,3.792,3.66,identified
Pythia v0 pythia-1b / PIQA,Pythia v0,pythia-1b,PIQA,0,training tokens,15,10,0.57889,0.462627,7e-06,0.516317,0.2534,0.1267,0.0321,0.1785,0.085,0.9901,0.9804,0.31,3.792,2.55,identified
Pythia v0 pythia-1b / PIQA / 5-shot,Pythia v0,pythia-1b,PIQA,5,training tokens,15,14,0.583242,0.454982,8e-06,0.557704,0.235,0.1175,0.032,0.2113,0.0459,0.9783,0.9708,0.305,3.864,0.83,identified
Pythia v0 pythia-1b / SciQ,Pythia v0,pythia-1b,SciQ,0,training tokens,15,7,0.204,0.188772,0.053947,0.20677,0.7055,0.3528,0.0679,0.4868,0.1024,0.9975,0.9395,0.683,3.714,15.18,identified
Pythia v0 pythia-1b / SciQ / 5-shot,Pythia v0,pythia-1b,SciQ,5,training tokens,15,11,0.114667,0.101598,0.024465,0.116885,0.774,0.387,0.1464,0.5173,0.1312,0.9933,0.9623,1.276,3.629,15.07,identified
Pythia v0 pythia-2.8b / ARC-Challenge / 5-shot,Pythia v0,pythia-2.8b,ARC-Challenge,5,training tokens,13,8,0.896473,0.826264,0.000342,0.901259,0.4262,0.2131,0.0241,1.1758,0.2753,0.9594,0.9511,0.09,1.827,-4.12,identified
Pythia v0 pythia-2.8b / LAMBADA,Pythia v0,pythia-2.8b,LAMBADA,0,training tokens,15,12,0.336309,0.241757,1.6e-05,0.301924,0.3799,0.1899,0.0675,0.3185,0.0626,0.9973,0.9843,0.684,3.792,17.35,identified
Pythia v0 pythia-2.8b / LAMBADA / 5-shot,Pythia v0,pythia-2.8b,LAMBADA,5,training tokens,15,11,0.369688,0.235271,0.101562,0.347727,0.3492,0.1746,0.1155,0.3752,0.0636,0.9937,0.9854,0.708,3.792,5.35,identified
Pythia v0 pythia-2.8b / PIQA,Pythia v0,pythia-2.8b,PIQA,0,training tokens,15,11,0.522306,0.339091,0.150739,0.458387,0.2308,0.1154,0.0697,0.2544,0.0479,0.9984,0.9922,0.405,3.864,13.62,identified
Pythia v0 pythia-2.8b / PIQA / 5-shot,Pythia v0,pythia-2.8b,PIQA,5,training tokens,15,13,0.51469,0.38907,3e-06,0.470925,0.2903,0.1452,0.0418,0.3254,0.0697,0.9863,0.9756,0.427,3.792,4.05,identified
Pythia v0 pythia-2.8b / SciQ,Pythia v0,pythia-2.8b,SciQ,0,training tokens,15,6,0.162667,0.120974,9e-06,0.176351,0.5365,0.2682,0.0964,0.4967,0.1008,0.9909,0.9819,0.733,2.872,-5.9,identified
Pythia v0 pythia-2.8b / SciQ / 5-shot,Pythia v0,pythia-2.8b,SciQ,5,training tokens,15,7,0.072,0.061915,0.013958,0.07547,0.8104,0.4052,0.1628,0.8562,0.1547,0.9956,0.9726,1.492,3.629,5.75,identified
Pythia v0 pythia-410m / ARC-Easy,Pythia v0,pythia-410m,ARC-Easy,0,training tokens,15,10,0.656004,0.603128,0.542695,0.651589,0.446,0.223,0.14,0.7617,0.1649,0.9938,0.9484,0.276,3.864,16.85,identified
Pythia v0 pythia-410m / LAMBADA,Pythia v0,pythia-410m,LAMBADA,0,training tokens,15,10,0.488841,0.342067,0.047865,0.398666,0.3146,0.1573,0.0695,0.1974,0.0416,0.9977,0.9887,0.524,3.629,11.89,identified
Pythia v0 pythia-410m / PIQA,Pythia v0,pythia-410m,PIQA,0,training tokens,15,8,0.650708,0.587918,3e-06,0.629801,0.3566,0.1783,0.0242,0.2512,0.0611,0.9957,0.9705,0.238,3.629,9.79,identified
Pythia v0 pythia-410m / SciQ,Pythia v0,pythia-410m,SciQ,0,training tokens,15,7,0.222667,0.214974,8e-06,0.238824,0.8089,0.4044,0.0764,0.4979,0.131,0.9933,0.963,0.905,3.192,5.02,identified
Pythia v0 pythia-6.9b / ARC-Challenge,Pythia v0,pythia-6.9b,ARC-Challenge,0,training tokens,13,12,0.902161,0.733596,9e-06,0.893199,0.2462,0.1231,0.0273,0.558,0.1456,0.984,0.9816,0.102,1.827,-2.04,identified
Pythia v0 pythia-6.9b / ARC-Challenge / 5-shot,Pythia v0,pythia-6.9b,ARC-Challenge,5,training tokens,13,8,0.858931,0.776832,3e-06,0.86084,0.4284,0.2142,0.0276,1.2448,0.3818,0.9218,0.9125,0.092,1.755,-4.7,identified
Pythia v0 pythia-6.9b / ARC-Easy,Pythia v0,pythia-6.9b,ARC-Easy,0,training tokens,15,12,0.444444,0.117219,0.026814,0.412488,0.188,0.094,0.0785,0.4351,0.0865,0.9953,0.9948,0.552,3.792,-2.42,identified
Pythia v0 pythia-6.9b / ARC-Easy / 5-shot,Pythia v0,pythia-6.9b,ARC-Easy,5,training tokens,15,14,0.398989,0.190489,0.136252,0.338846,0.2626,0.1313,0.1143,0.3067,0.0539,0.9978,0.9944,0.637,3.864,9.69,identified
Pythia v0 pythia-6.9b / LAMBADA,Pythia v0,pythia-6.9b,LAMBADA,0,training tokens,15,13,0.323695,0.203919,0.125455,0.268318,0.3735,0.1868,0.1181,0.2861,0.037,0.9968,0.9868,0.77,3.864,15.13,identified
Pythia v0 pythia-6.9b / LAMBADA / 5-shot,Pythia v0,pythia-6.9b,LAMBADA,5,training tokens,15,12,0.357656,0.16281,0.007011,0.325344,0.3059,0.153,0.1082,0.3953,0.0917,0.9931,0.9896,0.769,3.864,1.2,identified
Pythia v0 pythia-6.9b / PIQA,Pythia v0,pythia-6.9b,PIQA,0,training tokens,15,12,0.50925,0.420795,0.157667,0.503022,0.3615,0.1808,0.0625,0.4244,0.0989,0.9882,0.9681,0.428,3.864,8.26,identified
Pythia v0 pythia-6.9b / PIQA / 5-shot,Pythia v0,pythia-6.9b,PIQA,5,training tokens,15,11,0.489662,0.247566,0.00027,0.461288,0.2001,0.1001,0.0576,0.3829,0.0886,0.9932,0.9908,0.453,3.792,-0.68,identified
Pythia v0 pythia-6.9b / SciQ / 5-shot,Pythia v0,pythia-6.9b,SciQ,5,training tokens,15,10,0.068,0.003933,0.001098,0.066783,0.4263,0.2131,0.2067,0.8981,0.1843,0.9943,0.9943,1.429,3.629,-4.22,identified
Pythia v0 pythia-70m / SciQ,Pythia v0,pythia-70m,SciQ,0,training tokens,16,6,0.398667,0.336185,1.1e-05,0.404049,0.3698,0.1849,0.0396,0.3977,0.0965,0.9773,0.9689,0.34,3.045,-8.12,identified
Pythia v0 pythia-70m / SciQ / 5-shot,Pythia v0,pythia-70m,SciQ,5,training tokens,17,7,0.402667,0.345928,0.069076,0.401087,0.448,0.224,0.0579,0.4018,0.0891,0.9967,0.9791,0.356,3.045,6.01,identified
Pythia v1 deduped pythia-1.4b / ARC-Easy / 5-shot,Pythia v1 deduped,pythia-1.4b,ARC-Easy,5,training tokens,15,12,0.482043,0.294646,0.236381,0.390185,0.2389,0.1194,0.1009,0.1969,0.0317,0.9986,0.9933,0.442,3.792,14.76,identified
Pythia v1 deduped pythia-1.4b / LAMBADA,Pythia v1 deduped,pythia-1.4b,LAMBADA,0,training tokens,16,12,0.379585,0.31028,0.141495,0.35271,0.4257,0.2128,0.1051,0.2661,0.0522,0.9953,0.9761,0.89,4.812,15.82,identified
Pythia v1 deduped pythia-1.4b / LAMBADA / 5-shot,Pythia v1 deduped,pythia-1.4b,LAMBADA,5,training tokens,15,10,0.418591,0.281285,0.148419,0.404927,0.3149,0.1575,0.1064,0.3327,0.0535,0.9938,0.9869,0.578,3.536,3.1,identified
Pythia v1 deduped pythia-1.4b / PIQA / 5-shot,Pythia v1 deduped,pythia-1.4b,PIQA,5,training tokens,15,8,0.541894,0.15252,3e-06,0.484813,0.1222,0.0611,0.0442,0.2863,0.0642,0.9929,0.9926,0.35,3.792,-5.29,identified
Pythia v1 deduped pythia-1.4b / SciQ,Pythia v1 deduped,pythia-1.4b,SciQ,0,training tokens,16,7,0.165333,0.149617,0.132764,0.170442,0.7654,0.3827,0.2999,0.5128,0.0656,0.9979,0.9593,1.506,4.727,13.61,identified
Pythia v1 deduped pythia-1.4b / SciQ / 5-shot,Pythia v1 deduped,pythia-1.4b,SciQ,5,training tokens,15,6,0.094667,0.081658,0.041643,0.094572,0.8509,0.4254,0.2307,1.2835,0.2423,0.9933,0.955,1.309,3.714,1.45,identified
Pythia v1 deduped pythia-12b / ARC-Challenge / 5-shot,Pythia v1 deduped,pythia-12b,ARC-Challenge,5,training tokens,14,8,0.83504,0.5492,1.2e-05,0.833539,0.1972,0.0986,0.0403,0.7711,0.1801,0.9766,0.975,0.175,2.325,-5.09,identified
Pythia v1 deduped pythia-12b / ARC-Easy / 5-shot,Pythia v1 deduped,pythia-12b,ARC-Easy,5,training tokens,15,14,0.363075,0.111326,0.029806,0.258398,0.2413,0.1206,0.0996,0.2167,0.0355,0.9979,0.9969,0.715,3.792,2.1,identified
Pythia v1 deduped pythia-12b / LAMBADA,Pythia v1 deduped,pythia-12b,LAMBADA,0,training tokens,16,14,0.284883,0.189032,0.024779,0.229615,0.4162,0.2081,0.1195,0.2497,0.0378,0.9972,0.9884,1.225,4.812,16.71,identified
Pythia v1 deduped pythia-12b / LAMBADA / 5-shot,Pythia v1 deduped,pythia-12b,LAMBADA,5,training tokens,15,12,0.30914,0.064245,0.015441,0.269897,0.2738,0.1369,0.1214,0.3689,0.0753,0.9932,0.9927,0.87,3.864,-2.83,identified
Pythia v1 deduped pythia-12b / PIQA / 5-shot,Pythia v1 deduped,pythia-12b,PIQA,5,training tokens,15,11,0.461372,0.218684,0.039687,0.42533,0.1925,0.0963,0.0646,0.2718,0.0479,0.9945,0.9928,0.453,3.714,-0.93,identified
Pythia v1 deduped pythia-12b / SciQ,Pythia v1 deduped,pythia-12b,SciQ,0,training tokens,16,11,0.094667,0.082129,0.015476,0.098568,0.681,0.3405,0.2357,0.674,0.1026,0.9914,0.979,2.074,4.963,5.87,identified
Pythia v1 deduped pythia-12b / SciQ / 5-shot,Pythia v1 deduped,pythia-12b,SciQ,5,training tokens,15,7,0.058667,0.0198,0.004672,0.065063,0.5634,0.2817,0.2362,0.7125,0.1321,0.9941,0.9928,1.572,3.536,-5.68,identified
Pythia v1 deduped pythia-160m / LAMBADA,Pythia v1 deduped,pythia-160m,LAMBADA,0,training tokens,16,6,0.601785,0.558441,0.356703,0.601183,0.4745,0.2372,0.0988,1.2941,0.2232,0.969,0.9272,0.458,4.533,-4.88,identified
Pythia v1 deduped pythia-160m / LAMBADA / 5-shot,Pythia v1 deduped,pythia-160m,LAMBADA,5,training tokens,15,7,0.667184,0.340155,1.9e-05,0.651628,0.1422,0.0711,0.0425,0.6886,0.1801,0.9886,0.9873,0.249,3.434,-6.28,identified
Pythia v1 deduped pythia-160m / SciQ / 5-shot,Pythia v1 deduped,pythia-160m,SciQ,5,training tokens,15,7,0.237333,0.161574,0.088161,0.23238,0.4776,0.2388,0.1633,0.7464,0.2024,0.9938,0.9829,0.724,3.192,0.16,identified
Pythia v1 deduped pythia-1b / ARC-Easy / 5-shot,Pythia v1 deduped,pythia-1b,ARC-Easy,5,training tokens,15,9,0.520763,0.384112,0.182405,0.529168,0.2685,0.1343,0.069,0.5629,0.1357,0.9929,0.9844,0.394,3.714,2.26,identified
Pythia v1 deduped pythia-1b / LAMBADA,Pythia v1 deduped,pythia-1b,LAMBADA,0,training tokens,17,14,0.419561,0.305281,0.185854,0.373223,0.3244,0.1622,0.1007,0.2269,0.037,0.9967,0.9844,0.868,5.632,18.51,identified
Pythia v1 deduped pythia-1b / LAMBADA / 5-shot,Pythia v1 deduped,pythia-1b,LAMBADA,5,training tokens,15,13,0.471764,0.305117,0.041803,0.466918,0.2625,0.1313,0.0684,0.5104,0.1043,0.9856,0.9793,0.484,3.864,1.25,identified
Pythia v1 deduped pythia-1b / PIQA / 5-shot,Pythia v1 deduped,pythia-1b,PIQA,5,training tokens,15,7,0.59086,0.534595,0.078715,0.586139,0.4104,0.2052,0.0415,0.8042,0.1553,0.9876,0.959,0.267,3.536,1.37,identified
Pythia v1 deduped pythia-1b / SciQ,Pythia v1 deduped,pythia-1b,SciQ,0,training tokens,17,12,0.173333,0.161363,0.095954,0.17982,0.6536,0.3268,0.1786,0.3962,0.0566,0.9973,0.9698,1.728,5.632,25.33,identified
Pythia v1 deduped pythia-1b / SciQ / 5-shot,Pythia v1 deduped,pythia-1b,SciQ,5,training tokens,15,9,0.109333,0.095679,0.069209,0.1098,0.7954,0.3977,0.2436,0.8066,0.1309,0.9981,0.9596,1.26,3.792,22.69,identified
Pythia v1 deduped pythia-2.8b / ARC-Easy / 5-shot,Pythia v1 deduped,pythia-2.8b,ARC-Easy,5,training tokens,15,13,0.428732,0.298579,0.240935,0.387141,0.3169,0.1584,0.1268,0.3031,0.0505,0.9969,0.9869,0.534,3.714,15.46,identified
Pythia v1 deduped pythia-2.8b / LAMBADA,Pythia v1 deduped,pythia-2.8b,LAMBADA,0,training tokens,16,14,0.347953,0.267413,0.216778,0.300828,0.4301,0.2151,0.1447,0.2643,0.0293,0.999,0.981,0.992,4.812,37.74,identified
