suite,model,key,task,harness_task,chance,shots,step,train_tokens,params,nonemb,acc
OPT,opt-30b,30b,PIQA,piqa,0.5,0,143000,299892736000,30000000000.0,,0.775843
OPT,opt-66b,66b,PIQA,piqa,0.5,0,143000,299892736000,66000000000.0,,0.787813
OPT,opt-125m,125m,SciQ,sciq,0.25,0,143000,299892736000,125000000.0,,0.751
OPT,opt-350m,350m,SciQ,sciq,0.25,0,143000,299892736000,350000000.0,,0.748
OPT,opt-1.3b,1.3b,SciQ,sciq,0.25,0,143000,299892736000,1300000000.0,,0.845
OPT,opt-2.7b,2.7b,SciQ,sciq,0.25,0,143000,299892736000,2700000000.0,,0.858
OPT,opt-6.7b,6.7b,SciQ,sciq,0.25,0,143000,299892736000,6700000000.0,,0.901
OPT,opt-13b,13b,SciQ,sciq,0.25,0,143000,299892736000,13000000000.0,,0.908
OPT,opt-30b,30b,SciQ,sciq,0.25,0,143000,299892736000,30000000000.0,,0.911
OPT,opt-66b,66b,SciQ,sciq,0.25,0,143000,299892736000,66000000000.0,,0.926
OPT,opt-125m,125m,WSC,wsc,0.5,0,143000,299892736000,125000000.0,,0.365385
OPT,opt-350m,350m,WSC,wsc,0.5,0,143000,299892736000,350000000.0,,0.365385
OPT,opt-1.3b,1.3b,WSC,wsc,0.5,0,143000,299892736000,1300000000.0,,0.384615
OPT,opt-2.7b,2.7b,WSC,wsc,0.5,0,143000,299892736000,2700000000.0,,0.634615
OPT,opt-6.7b,6.7b,WSC,wsc,0.5,0,143000,299892736000,6700000000.0,,0.423077
OPT,opt-13b,13b,WSC,wsc,0.5,0,143000,299892736000,13000000000.0,,0.605769
OPT,opt-30b,30b,WSC,wsc,0.5,0,143000,299892736000,30000000000.0,,0.596154
OPT,opt-66b,66b,WSC,wsc,0.5,0,143000,299892736000,66000000000.0,,0.548077
OPT,opt-125m,125m,Winogrande,winogrande,0.5,0,143000,299892736000,125000000.0,,0.502762
OPT,opt-350m,350m,Winogrande,winogrande,0.5,0,143000,299892736000,350000000.0,,0.523283
OPT,opt-1.3b,1.3b,Winogrande,winogrande,0.5,0,143000,299892736000,1300000000.0,,0.597474
OPT,opt-2.7b,2.7b,Winogrande,winogrande,0.5,0,143000,299892736000,2700000000.0,,0.610103
OPT,opt-6.7b,6.7b,Winogrande,winogrande,0.5,0,143000,299892736000,6700000000.0,,0.652723
OPT,opt-13b,13b,Winogrande,winogrande,0.5,0,143000,299892736000,13000000000.0,,0.651934
OPT,opt-30b,30b,Winogrande,winogrande,0.5,0,143000,299892736000,30000000000.0,,0.681926
OPT,opt-66b,66b,Winogrande,winogrande,0.5,0,143000,299892736000,66000000000.0,,0.687451
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,3000,6291456000,70426624,18915328,0.175768
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,13000,27262976000,70426624,18915328,0.177474
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,23000,48234496000,70426624,18915328,0.186007
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,33000,69206016000,70426624,18915328,0.175768
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,43000,90177536000,70426624,18915328,0.180034
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,53000,111149056000,70426624,18915328,0.173208
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,63000,132120576000,70426624,18915328,0.174915
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,73000,153092096000,70426624,18915328,0.182594
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,83000,174063616000,70426624,18915328,0.176621
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,93000,195035136000,70426624,18915328,0.177474
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,103000,216006656000,70426624,18915328,0.177474
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,113000,236978176000,70426624,18915328,0.179181
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,123000,257949696000,70426624,18915328,0.1843
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,123000,257949696000,70426624,18915328,0.1843
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,133000,278921216000,70426624,18915328,0.169795
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,0,143000,299892736000,70426624,18915328,0.18686
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,3000,6291456000,70426624,18915328,0.173208
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,13000,27262976000,70426624,18915328,0.173208
Pythia v0,pythia-70m,70m,ARC-Challenge,arc_challenge,0.25,5,23000,48234496000,70426624,18915328,0.179181
